Date,Muscle Group,Exercise,Set Order,Weight,Unit,Reps,Note
2025-11-30,手臂 (Arms),Preacher Curl (Single Arm),2,12,lb,12,
2025-11-30,手臂 (Arms),Preacher Curl (Single Arm),3,17,lb,12,
2025-11-30,手臂 (Arms),Preacher Curl (Single Arm),4,17,lb,12,
2025-11-30,手臂 (Arms),Preacher Curl (Single Arm),5,23,lb,10,
2025-11-30,手臂 (Arms),Preacher Curl (Single Arm),6,23,lb,10,
2025-11-27,手臂 (Arms),Preacher Curl (Single Arm),1,17,lb,12,
2025-11-27,手臂 (Arms),Preacher Curl (Single Arm),2,17,lb,12,
2025-11-27,手臂 (Arms),Preacher Curl (Single Arm),3,23,lb,10,
2025-11-27,手臂 (Arms),Preacher Curl (Single Arm),4,23,lb,10,
2025-10-13,手臂 (Arms),Preacher Curl (Single Arm),1,12,lb,12,
2025-10-13,手臂 (Arms),Preacher Curl (Single Arm),2,12,lb,12,
2025-10-13,手臂 (Arms),Preacher Curl (Single Arm),3,17,lb,12,
2025-10-13,手臂 (Arms),Preacher Curl (Single Arm),4,17,lb,12,
2025-10-13,手臂 (Arms),Preacher Curl (Single Arm),5,23,lb,8,
2025-10-13,手臂 (Arms),Preacher Curl (Single Arm),6,23,lb,8,
2025-10-07,手臂 (Arms),Preacher Curl (Single Arm),1,12,lb,12,
2025-10-07,手臂 (Arms),Preacher Curl (Single Arm),2,12,lb,12,
2025-10-07,手臂 (Arms),Preacher Curl (Single Arm),3,17,lb,12,
2025-10-07,手臂 (Arms),Preacher Curl (Single Arm),4,17,lb,12,
2025-10-07,手臂 (Arms),Preacher Curl (Single Arm),5,23,lb,8,
2025-10-07,手臂 (Arms),Preacher Curl (Single Arm),6,23,lb,8,
2025-10-02,手臂 (Arms),Preacher Curl (Single Arm),1,12,lb,12,
2025-10-02,手臂 (Arms),Preacher Curl (Single Arm),2,12,lb,12,
2025-10-02,手臂 (Arms),Preacher Curl (Single Arm),3,17,lb,10,
2025-10-02,手臂 (Arms),Preacher Curl (Single Arm),4,17,lb,10,
2025-10-02,手臂 (Arms),Preacher Curl (Single Arm),5,23,lb,8,
2025-10-02,手臂 (Arms),Preacher Curl (Single Arm),6,23,lb,8,
2025-09-26,手臂 (Arms),Preacher Curl (Single Arm),1,12,lb,12,
2025-09-26,手臂 (Arms),Preacher Curl (Single Arm),2,12,lb,12,
2025-09-26,手臂 (Arms),Preacher Curl (Single Arm),3,17,lb,10,
2025-09-26,手臂 (Arms),Preacher Curl (Single Arm),4,17,lb,10,
2025-09-26,手臂 (Arms),Preacher Curl (Single Arm),5,23,lb,8,
2025-09-26,手臂 (Arms),Preacher Curl (Single Arm),6,23,lb,8,
